snapshot_time,trip_id,stop_id,delay_sec
20260801_194017,4168529,1266,2.0
20260801_194017,4168529,1267,-3.0
20260801_194017,4168529,1268,-30.0
20260801_194017,4168529,2106,3.0
20260801_194017,4168529,1484,-15.0
20260801_194017,4168529,1315,11.0
20260801_194017,4168529,1316,17.0
20260801_194017,4168529,1317,0.0
20260801_194017,4168529,1278,0.0
20260801_194017,4168529,1456,6.0
20260801_194017,4168529,1457,-15.0
20260801_194017,4168529,6023,0.0
20260801_194017,4168529,1459,-6.0
20260801_194017,4168529,1486,17.0
20260801_194017,4168529,1426,-1.0
20260801_194017,4168529,1427,9.0
20260801_194017,4168529,6020,0.0
20260801_194017,4168529,4158,-20.0
20260801_194017,4168529,6021,17.0
20260801_194017,4168529,3539,-6.0
20260801_194017,4168529,1460,28.0
20260801_194017,4168529,1461,-9.0
20260801_194017,4168529,1462,-25.0
20260801_194017,4168529,6022,-24.0
20260801_194017,4168529,1464,-16.0
20260801_194017,4168529,1465,19.0
20260801_194017,4168529,1466,-5.0
20260801_194017,4168529,1467,-17.0
20260801_194017,4168529,1511,0.0
20260801_194017,4167677,4000,0.0
20260801_194017,4167677,1095,-23.0
20260801_194017,4167677,1180,0.0
20260801_194017,4167677,2669,-12.0
20260801_194017,4167677,1211,-15.0
20260801_194017,4167677,1406,-4.0
20260801_194017,4167677,3173,0.0
20260801_194017,4167677,3175,22.0
20260801_194017,4167677,3389,23.0
20260801_194017,4167677,3390,21.0
20260801_194017,4167677,3391,0.0
20260801_194017,4167677,1982,27.0
20260801_194017,4167677,2706,-7.0
20260801_194017,4167677,1377,29.0
20260801_194017,4167677,1000,0.0
20260801_194017,4167677,1879,18.0
20260801_194017,4167677,1893,0.0
20260801_194017,4167677,2541,-14.0
20260801_194017,4167677,1903,-4.0
20260801_194017,4167677,1923,21.0
20260801_194017,4167677,1987,-12.0
20260801_194017,4167677,1936,0.0
20260801_194017,4167677,2333,4.0
20260801_194017,4167677,2337,-14.0
20260801_194017,4167677,2339,0.0
20260801_194017,4167677,1932,-24.0
20260801_194017,4167677,1679,24.0
20260801_194017,4167677,1057,0.0
20260801_194017,4165919,2165,0.0
20260801_194017,4165919,2166,16.0
20260801_194017,4165919,4221,-30.0
20260801_194017,4165919,2167,-3.0
20260801_194017,4165919,2168,18.0
20260801_194017,4165919,2169,-15.0
20260801_194017,4165919,2170,17.0
20260801_194017,4165919,2171,-5.0
20260801_194017,4165919,2172,-29.0
20260801_194017,4165919,2173,-12.0
20260801_194017,4165919,1504,-21.0
20260801_194017,4165919,1505,0.0
20260801_194017,4165919,1506,-15.0
20260801_194017,4165919,1507,-21.0
20260801_194017,4165919,2301,-27.0
20260801_194017,4165919,2302,5.0
20260801_194017,4165919,2304,13.0
20260801_194017,4165919,2125,3.0
20260801_194017,4165919,1519,0.0
20260801_194017,4165918,2165,109.0
20260801_194017,4165918,2166,125.0
20260801_194017,4165918,4221,79.0
20260801_194017,4165918,2167,106.0
20260801_194017,4165918,2168,127.0
20260801_194017,4165918,2169,94.0
